tau,s,h
0.13597620,0.16997025,0.00000000
0.13597620,0.18885584,0.00000000
0.13597620,0.20774141,0.00000000
0.13597620,0.22662700,0.00000000
0.13597620,0.24551258,0.00000000
0.13597620,0.26439818,0.00000000
0.13597620,0.28328375,0.00000000
0.13597620,0.30216933,0.00000000
0.13597620,0.32105493,0.00000000
0.13597620,0.33994050,0.00000000
0.13597620,0.35882608,0.00000000
0.13597620,0.37771168,0.00000000
0.13597620,0.39659725,0.00000000
0.13597620,0.41548283,0.00000000
0.13597620,0.43436843,0.00000000
0.13597620,0.45325400,0.00000000
0.13597620,0.47213958,0.00000000
0.13597620,0.49102515,0.00000000
0.13597620,0.50991073,0.00000000
0.13597620,0.52879636,0.00000000
0.13597620,0.54768193,0.00000000
0.13597620,0.56656750,0.00000000
0.13597620,0.58545308,0.00000000
0.13597620,0.60433865,0.00000000
0.13597620,0.62322423,0.00000000
0.13597620,0.64210986,0.00000000
0.13597620,0.66099543,0.00000000
0.13597620,0.67988101,0.00000000
0.13597620,0.69876658,0.00000000
0.13597620,0.71765215,0.00000000
0.13597620,0.73653773,0.00000000
0.13597620,0.75542336,0.00000000
0.13597620,0.77430893,0.00000000
0.13597620,0.79319451,0.00000000
0.13597620,0.81208008,0.00000000
0.13597620,0.83096565,0.00000000
0.13597620,0.84985123,0.00000000
0.13597620,0.86873686,0.00000000
0.13597620,0.88762243,0.00000000
0.13597620,0.90650801,0.00000000
0.13597620,0.92539358,0.00000000
0.15391751,0.00000000,0.00010176
0.15391751,0.01888558,0.00009933
0.15391751,0.03777117,0.00009637
0.15391751,0.05665675,0.00009274
0.15391751,0.07554233,0.00008820
0.15391751,0.09442792,0.00008237
0.15391751,0.11331350,0.00007447
0.15391751,0.13219909,0.00006251
0.15391751,0.15108466,0.00003410
0.15391751,0.16997025,0.00000000
0.15391751,0.18885584,0.00000000
0.15391751,0.20774141,0.00000000
0.15391751,0.22662700,0.00000000
0.15391751,0.24551258,0.00000000
0.15391751,0.26439818,0.00000000
0.15391751,0.28328375,0.00000000
0.15391751,0.30216933,0.00000000
0.15391751,0.32105493,0.00000000
0.15391751,0.33994050,0.00000000
0.15391751,0.35882608,0.00000000
0.15391751,0.37771168,0.00000000
0.15391751,0.39659725,0.00000000
0.15391751,0.41548283,0.00000000
0.15391751,0.43436843,0.00000000
0.15391751,0.45325400,0.00000000
0.15391751,0.47213958,0.00000000
0.15391751,0.49102515,0.00000000
0.15391751,0.50991073,0.00000000
0.15391751,0.52879636,0.00000000
0.15391751,0.54768193,0.00000000
0.15391751,0.56656750,0.00000000
0.15391751,0.58545308,0.00000000
0.15391751,0.60433865,0.00000000
0.15391751,0.62322423,0.00000000
0.15391751,0.64210986,0.00000000
0.15391751,0.66099543,0.00000000
0.15391751,0.67988101,0.00000000
0.15391751,0.69876658,0.00000000
0.15391751,0.71765215,0.00000000
0.15391751,0.73653773,0.00000000
0.15391751,0.75542336,0.00000000
0.15391751,0.77430893,0.00000000
0.15391751,0.79319451,0.00000000
0.15391751,0.81208008,0.00000000
0.15391751,0.83096565,0.00000000
0.15391751,0.84985123,0.00000000
0.15391751,0.86873686,0.00000000
0.15391751,0.88762243,0.00000000
0.15391751,0.90650801,0.00000000
0.15391751,0.92539358,0.00000000
0.17185881,0.00000000,0.00010368
0.17185881,0.01888558,0.00010165
0.17185881,0.03777117,0.00009920
0.17185881,0.05665675,0.00009621
0.17185881,0.07554233,0.00009254
0.17185881,0.09442792,0.00008795
0.17185881,0.11331350,0.00008204
0.17185881,0.13219909,0.00007400
0.17185881,0.15108466,0.00006171
0.17185881,0.16997025,0.00003016
0.17185881,0.18885584,0.00000000
0.17185881,0.20774141,0.00000000
0.17185881,0.22662700,0.00000000
0.17185881,0.24551258,0.00000000
0.17185881,0.26439818,0.00000000
0.17185881,0.28328375,0.00000000
0.17185881,0.30216933,0.00000000
0.17185881,0.32105493,0.00000000
0.17185881,0.33994050,0.00000000
0.17185881,0.35882608,0.00000000
0.17185881,0.37771168,0.00000000
0.17185881,0.39659725,0.00000000
0.17185881,0.41548283,0.00000000
0.17185881,0.43436843,0.00000000
0.17185881,0.45325400,0.00000000
0.17185881,0.47213958,0.00000000
0.17185881,0.49102515,0.00000000
0.17185881,0.50991073,0.00000000
0.17185881,0.52879636,0.00000000
0.17185881,0.54768193,0.00000000
0.17185881,0.56656750,0.00000000
0.17185881,0.58545308,0.00000000
0.17185881,0.60433865,0.00000000
0.17185881,0.62322423,0.00000000
0.17185881,0.64210986,0.00000000
0.17185881,0.66099543,0.00000000
0.17185881,0.67988101,0.00000000
0.17185881,0.69876658,0.00000000
0.17185881,0.71765215,0.00000000
0.17185881,0.73653773,0.00000000
0.17185881,0.75542336,0.00000000
0.17185881,0.77430893,0.00000000
0.17185881,0.79319451,0.00000000
0.17185881,0.81208008,0.00000000
0.17185881,0.83096565,0.00000000
0.17185881,0.84985123,0.00000000
0.17185881,0.86873686,0.00000000
0.17185881,0.88762243,0.00000000
0.17185881,0.90650801,0.00000000
0.17185881,0.92539358,0.00000000
0.18980011,0.00000000,0.00010529
0.18980011,0.01888558,0.00010359
0.18980011,0.03777117,0.00010154
0.18980011,0.05665675,0.00009906
0.18980011,0.07554233,0.00009604
0.18980011,0.09442792,0.00009233
0.18980011,0.11331350,0.00008769
0.18980011,0.13219909,0.00008170
0.18980011,0.15108466,0.00007352
0.18980011,0.16997025,0.00006089
0.18980011,0.18885584,0.00002443
0.18980011,0.20774141,0.00000000
0.18980011,0.22662700,0.00000000
0.18980011,0.24551258,0.00000000
0.18980011,0.26439818,0.00000000
0.18980011,0.28328375,0.00000000
0.18980011,0.30216933,0.00000000
0.18980011,0.32105493,0.00000000
0.18980011,0.33994050,0.00000000
0.18980011,0.35882608,0.00000000
0.18980011,0.37771168,0.00000000
0.18980011,0.39659725,0.00000000
0.18980011,0.41548283,0.00000000
0.18980011,0.43436843,0.00000000
0.18980011,0.45325400,0.00000000
0.18980011,0.47213958,0.00000000
0.18980011,0.49102515,0.00000000
0.18980011,0.50991073,0.00000000
0.18980011,0.52879636,0.00000000
0.18980011,0.54768193,0.00000000
0.18980011,0.56656750,0.00000000
0.18980011,0.58545308,0.00000000
0.18980011,0.60433865,0.00000000
0.18980011,0.62322423,0.00000000
0.18980011,0.64210986,0.00000000
0.18980011,0.66099543,0.00000000
0.18980011,0.67988101,0.00000000
0.18980011,0.69876658,0.00000000
0.18980011,0.71765215,0.00000000
0.18980011,0.73653773,0.00000000
0.18980011,0.75542336,0.00000000
0.18980011,0.77430893,0.00000000
0.18980011,0.79319451,0.00000000
0.18980011,0.81208008,0.00000000
0.18980011,0.83096565,0.00000000
0.18980011,0.84985123,0.00000000
0.18980011,0.86873686,0.00000000
0.18980011,0.88762243,0.00000000
0.18980011,0.90650801,0.00000000
0.18980011,0.92539358,0.00000000
0.20774141,0.00000000,0.00010662
0.20774141,0.01888558,0.00010521
0.20774141,0.03777117,0.00010350
0.20774141,0.05665675,0.00010143
0.20774141,0.07554233,0.00009892
0.20774141,0.09442792,0.00009587
0.20774141,0.11331350,0.00009212
0.20774141,0.13219909,0.00008743
0.20774141,0.15108466,0.00008135
0.20774141,0.16997025,0.00007302
0.20774141,0.18885584,0.00006004
0.20774141,0.20774141,0.00000000
0.20774141,0.22662700,0.00000000
0.20774141,0.24551258,0.00000000
0.20774141,0.26439818,0.00000000
0.20774141,0.28328375,0.00000000
0.20774141,0.30216933,0.00000000
0.20774141,0.32105493,0.00000000
0.20774141,0.33994050,0.00000000
0.20774141,0.35882608,0.00000000
0.20774141,0.37771168,0.00000000
0.20774141,0.39659725,0.00000000
0.20774141,0.41548283,0.00000000
0.20774141,0.43436843,0.00000000
0.20774141,0.45325400,0.00000000
0.20774141,0.47213958,0.00000000
0.20774141,0.49102515,0.00000000
0.20774141,0.50991073,0.00000000
0.20774141,0.52879636,0.00000000
0.20774141,0.54768193,0.00000000
0.20774141,0.56656750,0.00000000
0.20774141,0.58545308,0.00000000
0.20774141,0.60433865,0.00000000
0.20774141,0.62322423,0.00000000
0.20774141,0.64210986,0.00000000
0.20774141,0.66099543,0.00000000
0.20774141,0.67988101,0.00000000
0.20774141,0.69876658,0.00000000
0.20774141,0.71765215,0.00000000
0.20774141,0.73653773,0.00000000
0.20774141,0.75542336,0.00000000
0.20774141,0.77430893,0.00000000
0.20774141,0.79319451,0.00000000
0.20774141,0.81208008,0.00000000
0.20774141,0.83096565,0.00000000
0.20774141,0.84985123,0.00000000
0.20774141,0.86873686,0.00000000
0.20774141,0.88762243,0.00000000
0.20774141,0.90650801,0.00000000
0.20774141,0.92539358,0.00000000
0.22568271,0.00000000,0.00010773
0.22568271,0.01888558,0.00010656
0.22568271,0.03777117,0.00010513
0.22568271,0.05665675,0.00010340
0.22568271,0.07554233,0.00010131
0.22568271,0.09442792,0.00009878
0.22568271,0.11331350,0.00009571
0.22568271,0.13219909,0.00009191
0.22568271,0.15108466,0.00008716
0.22568271,0.16997025,0.00008100
0.22568271,0.18885584,0.00007252
0.22568271,0.20774141,0.00005915
0.22568271,0.22662700,0.00000000
0.22568271,0.24551258,0.00000000
0.22568271,0.26439818,0.00000000
0.22568271,0.28328375,0.00000000
0.22568271,0.30216933,0.00000000
0.22568271,0.32105493,0.00000000
0.22568271,0.33994050,0.00000000
0.22568271,0.35882608,0.00000000
0.22568271,0.37771168,0.00000000
0.22568271,0.39659725,0.00000000
0.22568271,0.41548283,0.00000000
0.22568271,0.43436843,0.00000000
0.22568271,0.45325400,0.00000000
0.22568271,0.47213958,0.00000000
0.22568271,0.49102515,0.00000000
0.22568271,0.50991073,0.00000000
0.22568271,0.52879636,0.00000000
0.22568271,0.54768193,0.00000000
0.22568271,0.56656750,0.00000000
0.22568271,0.58545308,0.00000000
0.22568271,0.60433865,0.00000000
0.22568271,0.62322423,0.00000000
0.22568271,0.64210986,0.00000000
0.22568271,0.66099543,0.00000000
0.22568271,0.67988101,0.00000000
0.22568271,0.69876658,0.00000000
0.22568271,0.71765215,0.00000000
0.22568271,0.73653773,0.00000000
0.22568271,0.75542336,0.00000000
0.22568271,0.77430893,0.00000000
0.22568271,0.79319451,0.00000000
0.22568271,0.81208008,0.00000000
0.22568271,0.83096565,0.00000000
0.22568271,0.84985123,0.00000000
0.22568271,0.86873686,0.00000000
0.22568271,0.88762243,0.00000000
0.22568271,0.90650801,0.00000000
0.22568271,0.92539358,0.00000000
0.24362403,0.00000000,0.00010864
0.24362403,0.01888558,0.00010768
0.24362403,0.03777117,0.00010649
0.24362403,0.05665675,0.00010505
0.24362403,0.07554233,0.00010331
0.24362403,0.09442792,0.00010120
0.24362403,0.11331350,0.00009864
0.24362403,0.13219909,0.00009553
0.24362403,0.15108466,0.00009170
0.24362403,0.16997025,0.00008689
0.24362403,0.18885584,0.00008064
0.24362403,0.20774141,0.00007200
0.24362403,0.22662700,0.00005823
0.24362403,0.24551258,0.00000000
0.24362403,0.26439818,0.00000000
0.24362403,0.28328375,0.00000000
0.24362403,0.30216933,0.00000000
0.24362403,0.32105493,0.00000000
0.24362403,0.33994050,0.00000000
0.24362403,0.35882608,0.00000000
0.24362403,0.37771168,0.00000000
0.24362403,0.39659725,0.00000000
0.24362403,0.41548283,0.00000000
0.24362403,0.43436843,0.00000000
0.24362403,0.45325400,0.00000000
0.24362403,0.47213958,0.00000000
0.24362403,0.49102515,0.00000000
0.24362403,0.50991073,0.00000000
0.24362403,0.52879636,0.00000000
0.24362403,0.54768193,0.00000000
0.24362403,0.56656750,0.00000000
0.24362403,0.58545308,0.00000000
0.24362403,0.60433865,0.00000000
0.24362403,0.62322423,0.00000000
0.24362403,0.64210986,0.00000000
0.24362403,0.66099543,0.00000000
0.24362403,0.67988101,0.00000000
0.24362403,0.69876658,0.00000000
0.24362403,0.71765215,0.00000000
0.24362403,0.73653773,0.00000000
0.24362403,0.75542336,0.00000000
0.24362403,0.77430893,0.00000000
0.24362403,0.79319451,0.00000000
0.24362403,0.81208008,0.00000000
0.24362403,0.83096565,0.00000000
0.24362403,0.84985123,0.00000000
0.24362403,0.86873686,0.00000000
0.24362403,0.88762243,0.00000000
0.24362403,0.90650801,0.00000000
0.24362403,0.92539358,0.00000000
0.26156533,0.00000000,0.00010937
0.26156533,0.01888558,0.00010860
0.26156533,0.03777117,0.00010762
0.26156533,0.05665675,0.00010643
0.26156533,0.07554233,0.00010497
0.26156533,0.09442792,0.00010321
0.26156533,0.11331350,0.00010108
0.26156533,0.13219909,0.00009850
0.26156533,0.15108466,0.00009536
0.26156533,0.16997025,0.00009149
0.26156533,0.18885584,0.00008662
0.26156533,0.20774141,0.00008027
0.26156533,0.22662700,0.00007147
0.26156533,0.24551258,0.00005727
0.26156533,0.26439818,0.00000000
0.26156533,0.28328375,0.00000000
0.26156533,0.30216933,0.00000000
0.26156533,0.32105493,0.00000000
0.26156533,0.33994050,0.00000000
0.26156533,0.35882608,0.00000000
0.26156533,0.37771168,0.00000000
0.26156533,0.39659725,0.00000000
0.26156533,0.41548283,0.00000000
0.26156533,0.43436843,0.00000000
0.26156533,0.45325400,0.00000000
0.26156533,0.47213958,0.00000000
0.26156533,0.49102515,0.00000000
0.26156533,0.50991073,0.00000000
0.26156533,0.52879636,0.00000000
0.26156533,0.54768193,0.00000000
0.26156533,0.56656750,0.00000000
0.26156533,0.58545308,0.00000000
0.26156533,0.60433865,0.00000000
0.26156533,0.62322423,0.00000000
0.26156533,0.64210986,0.00000000
0.26156533,0.66099543,0.00000000
0.26156533,0.67988101,0.00000000
0.26156533,0.69876658,0.00000000
0.26156533,0.71765215,0.00000000
0.26156533,0.73653773,0.00000000
0.26156533,0.75542336,0.00000000
0.26156533,0.77430893,0.00000000
0.26156533,0.79319451,0.00000000
0.26156533,0.81208008,0.00000000
0.26156533,0.83096565,0.00000000
0.26156533,0.84985123,0.00000000
0.26156533,0.86873686,0.00000000
0.26156533,0.88762243,0.00000000
0.26156533,0.90650801,0.00000000
0.26156533,0.92539358,0.00000000
0.27950663,0.00000000,0.00010995
0.27950663,0.01888558,0.00010934
0.27950663,0.03777117,0.00010855
0.27950663,0.05665675,0.00010757
0.27950663,0.07554233,0.00010636
0.27950663,0.09442792,0.00010489
0.27950663,0.11331350,0.00010311
0.27950663,0.13219909,0.00010096
0.27950663,0.15108466,0.00009836
0.27950663,0.16997025,0.00009519
0.27950663,0.18885584,0.00009127
0.27950663,0.20774141,0.00008634
0.27950663,0.22662700,0.00007990
0.27950663,0.24551258,0.00007093
0.27950663,0.26439818,0.00005626
0.27950663,0.28328375,0.00000000
0.27950663,0.30216933,0.00000000
0.27950663,0.32105493,0.00000000
0.27950663,0.33994050,0.00000000
0.27950663,0.35882608,0.00000000
0.27950663,0.37771168,0.00000000
0.27950663,0.39659725,0.00000000
0.27950663,0.41548283,0.00000000
0.27950663,0.43436843,0.00000000
0.27950663,0.45325400,0.00000000
0.27950663,0.47213958,0.00000000
0.27950663,0.49102515,0.00000000
0.27950663,0.50991073,0.00000000
0.27950663,0.52879636,0.00000000
0.27950663,0.54768193,0.00000000
0.27950663,0.56656750,0.00000000
0.27950663,0.58545308,0.00000000
0.27950663,0.60433865,0.00000000
0.27950663,0.62322423,0.00000000
0.27950663,0.64210986,0.00000000
0.27950663,0.66099543,0.00000000
0.27950663,0.67988101,0.00000000
0.27950663,0.69876658,0.00000000
0.27950663,0.71765215,0.00000000
0.27950663,0.73653773,0.00000000
0.27950663,0.75542336,0.00000000
0.27950663,0.77430893,0.00000000
0.27950663,0.79319451,0.00000000
0.27950663,0.81208008,0.00000000
0.27950663,0.83096565,0.00000000
0.27950663,0.84985123,0.00000000
0.27950663,0.86873686,0.00000000
0.27950663,0.88762243,0.00000000
0.27950663,0.90650801,0.00000000
0.27950663,0.92539358,0.00000000
0.29744793,0.00000000,0.00011040
0.29744793,0.01888558,0.00010993
0.29744793,0.03777117,0.00010930
0.29744793,0.05665675,0.00010851
0.29744793,0.07554233,0.00010752
0.29744793,0.09442792,0.00010630
0.29744793,0.11331350,0.00010481
0.29744793,0.13219909,0.00010302
0.29744793,0.15108466,0.00010085
0.29744793,0.16997025,0.00009822
0.29744793,0.18885584,0.00009501
0.29744793,0.20774141,0.00009105
0.29744793,0.22662700,0.00008606
0.29744793,0.24551258,0.00007953
0.29744793,0.26439818,0.00007038
0.29744793,0.28328375,0.00005521
0.29744793,0.30216933,0.00000000
0.29744793,0.32105493,0.00000000
0.29744793,0.33994050,0.00000000
0.29744793,0.35882608,0.00000000
0.29744793,0.37771168,0.00000000
0.29744793,0.39659725,0.00000000
0.29744793,0.41548283,0.00000000
0.29744793,0.43436843,0.00000000
0.29744793,0.45325400,0.00000000
0.29744793,0.47213958,0.00000000
0.29744793,0.49102515,0.00000000
0.29744793,0.50991073,0.00000000
0.29744793,0.52879636,0.00000000
0.29744793,0.54768193,0.00000000
0.29744793,0.56656750,0.00000000
0.29744793,0.58545308,0.00000000
0.29744793,0.60433865,0.00000000
0.29744793,0.62322423,0.00000000
0.29744793,0.64210986,0.00000000
0.29744793,0.66099543,0.00000000
0.29744793,0.67988101,0.00000000
0.29744793,0.69876658,0.00000000
0.29744793,0.71765215,0.00000000
0.29744793,0.73653773,0.00000000
0.29744793,0.75542336,0.00000000
0.29744793,0.77430893,0.00000000
0.29744793,0.79319451,0.00000000
0.29744793,0.81208008,0.00000000
0.29744793,0.83096565,0.00000000
0.29744793,0.84985123,0.00000000
0.29744793,0.86873686,0.00000000
0.29744793,0.88762243,0.00000000
0.29744793,0.90650801,0.00000000
0.29744793,0.92539358,0.00000000
0.31538923,0.00000000,0.00011072
0.31538923,0.01888558,0.00011038
0.31538923,0.03777117,0.00010990
0.31538923,0.05665675,0.00010927
0.31538923,0.07554233,0.00010846
0.31538923,0.09442792,0.00010746
0.31538923,0.11331350,0.00010623
0.31538923,0.13219909,0.00010473
0.31538923,0.15108466,0.00010292
0.31538923,0.16997025,0.00010073
0.31538923,0.18885584,0.00009807
0.31538923,0.20774141,0.00009483
0.31538923,0.22662700,0.00009083
0.31538923,0.24551258,0.00008577
0.31538923,0.26439818,0.00007915
0.31538923,0.28328375,0.00006982
0.31538923,0.30216933,0.00005410
0.31538923,0.32105493,0.00000000
0.31538923,0.33994050,0.00000000
0.31538923,0.35882608,0.00000000
0.31538923,0.37771168,0.00000000
0.31538923,0.39659725,0.00000000
0.31538923,0.41548283,0.00000000
0.31538923,0.43436843,0.00000000
0.31538923,0.45325400,0.00000000
0.31538923,0.47213958,0.00000000
